stname,ctyname,aa_change,rtd_change,hisp_change,white_change
Missouri,Bollinger County,0.0019999150999999997,4.496512599999999,0.003543830500000001,-0.0066389999999999505
South Dakota,Bon Homme County,0.0027764758000000007,1.7376793000000001,0.007260862999999999,-0.011589349999999943
Illinois,Bond County,-0.0021989789999999967,1.3365741,0.0035428569999999965,-0.004178099999999962
Idaho,Bonner County,0.0012454899,0.8714496,0.0067761229999999985,-0.0054783200000000365
Idaho,Bonneville County,7.430221999999995e-4,0.4204830999999998,0.014270729999999995,-0.00816863999999995
Missouri,Boone County,0.0296864721,9.22257712,0.04928195769999999,-0.08268785000000012
Texas,Borden County,0.0060882801,2.7451618999999994,0.06031767000000002,-0.023631220000000064
Texas,Bosque County,0.0048593,1.7536387999999996,0.017969610000000025,-0.010725740000000039
Louisiana,Bossier Parish,0.009218480000000001,0.23119259999999997,0.005296896999999995,-0.015147270000000046
Virginia,Botetourt County,0.0012276509999999963,0.9612599,0.005650278999999999,-0.006613850000000032
North Dakota,Bottineau County,0.004326796899999999,1.9040879999999998,0.012956536999999999,-0.019844420000000085
Colorado,Boulder County,0.0016376559999999995,-0.04885075,0.004536120000000005,-0.01195347999999996
Idaho,Boundary County,0.0021428242000000003,1.9869691999999994,0.014468026000000002,-0.007125969999999926
Kansas,Bourbon County,-9.830040000000095e-4,2.1116959000000004,0.0038716949999999944,-0.015690439999999972
Texas,Bowie County,0.00432689,0.5859759000000002,0.0097913300000000009,-0.013593969999999955
North Dakota,Bowman County,0.00215158357,4.0541446,0.029870411000000003,-0.02103061000000006
Nebraska,Box Butte County,0.003991320699999999,2.1935735999999997,0.02125141,-0.015494230000000053
Utah,Box Elder County,9.357956999999995e-4,0.7601193999999998,0.00943379100000001,-0.0024225699999999017
Kentucky,Boyd County,-3.861161700000025e-4,5.294660899999999,0.009496563999999996,-0.013602019999999992
Kentucky,Boyle County,0.002361171000000009,0.2632618999999998,0.004641453,-0.00885904000000004
Kentucky,Bracken County,0.0020957490999999996,2.1806036,0.006256836,-0.006221770000000015
Pennsylvania,Bradford County,-0.00949141610000001,2.063544200000001,0.005549301999999999,-0.002645019999999887
Arkansas,Bradley County,0.005179996999999992,1.4791663000000002,0.033072981,-0.016384359999999987
Michigan,Branch County,-0.008970305000000001,1.1955425999999998,0.006350867000000003,0.0022772500000000084
Georgia,Brantley County,0.004012080000000001,4.4537702,0.0036885949999999994,-0.00976425000000003
West Virginia,Braxton County,0.0022918577000000002,1.70525356,0.0032062191,-0.007014570000000053
Texas,Brazoria County,0.014340920000000007,-0.16576330000000006,0.02393377000000002,-0.027937290000000004
Texas,Brazos County,-0.0013676600000000066,-0.15193619999999997,0.018970189999999998,-0.013428810000000069
Kentucky,Breathitt County,0.0021456342000000005,1.3852788000000003,0.0034526475000000003,-0.007597509999999974
Kentucky,Breckinridge County,-8.218549999999998e-4,1.6100924,0.0046878061000000006,-0.004100319999999935
Iowa,Bremer County,0.0026765278,0.51854707,0.005429464699999999,-0.008658880000000035
Florida,Brevard County,0.003141779999999997,0.28463459999999996,0.018503180999999994,-0.00997345999999999
Texas,Brewster County,0.002090163000000001,0.16729185999999996,0.022789289999999962,-0.017160889999999984
Texas,Briscoe County,0.0067735719999999985,3.8583754999999997,0.015957269999999968,-0.01548313999999995
Virginia,Bristol city,-0.002008441999999999,0.9477411,0.009378298000000002,-0.005747199999999952
Rhode Island,Bristol County,0.013253403900000002,0.2378047700000001,0.025725076999999985,-0.032786790000000066
Montana,Broadwater County,0.0014651590000000002,1.9279417999999997,0.005378707999999999,-0.00643121999999996
New York,Bronx County,-0.0012015700000000407,-0.01634927,0.02362989999999998,-0.004550009999999993
West Virginia,Brooke County,0.002276396,1.5281009,0.0021410104999999994,-0.005840900000000038
South Dakota,Brookings County,0.007922709600000001,0.49074341,0.008702986000000003,-0.01423626999999994
Texas,Brooks County,0.0044305453999999855,0.14823691000000006,5.375469999999716e-4,-0.03077810999999997
New York,Broome County,0.0086153,0.19512758000000008,0.007008700999999999,-0.020903520000000064
Colorado,Broomfield County,0.002947581999999999,-0.060884179999999954,0.010259550000000006,-0.009861699999999973
Florida,Broward County,0.02140858000000001,-0.010951729999999993,0.04062094999999999,-0.028860510000000006
Wisconsin,Brown County,0.02289249004999999,16.61056822,0.08931680839999995,-0.09161740000000052
South Dakota,Brule County,0.0017425341000000005,1.2827745,0.012184933,-0.027684280000000006
Virginia,Brunswick County,-0.02880638999999996,0.49442432000000025,-4.899999999999349e-5,0.017386899999999983
Oklahoma,Bryan County,0.004210471000000021,1.7510216000000005,0.032095374999999995,-0.03249180000000007
Virginia,Buckingham County,-0.009652789999999967,0.2802712300000001,0.006720763000000001,0.0053089299999999895
Pennsylvania,Bucks County,0.005220481000000006,0.14461511000000005,0.008595813,-0.01720654999999993
Virginia,Buena Vista city,-0.0035301559999999996,0.9064523,0.012638706999999999,-0.005355239999999983
Iowa,Buena Vista County,0.0037454550000000017,0.6804177,0.02249527000000001,-0.05728138000000005
Nebraska,Buffalo County,0.009335577500000001,1.9201359499999997,0.043085956999999994,-0.013736699999999935
Missouri,Buchanan County,0.013692575199999987,4.603087390000001,0.01623261170000001,-0.03345178999999998
Kentucky,Bullitt County,0.0047430002999999995,1.1998072,0.004828465999999998,-0.009261249999999999
Alabama,Bullock County,-0.0051752899999999435,-0.02385014000000002,0.0033089150000000095,0.001440050000000026
Georgia,Bulloch County,0.01839685000000002,0.1515548,0.003822203000000003,-0.02009105
North Carolina,Buncombe County,-9.766819999999926e-4,-0.014539480000000049,0.0047417280000000075,-0.003755800000000087
Illinois,Bureau County,0.0023393872999999997,0.6494165199999999,0.013112069000000004,-0.008757349999999997
North Carolina,Burke County,-0.014020102899999998,6.25120381,0.01984620000000001,-0.015341970000000149
North Dakota,Burleigh County,0.015292003300000002,1.3588373,0.011413005,-0.02331382000000004
Texas,Burleson County,0.006932750000000001,1.3505848,0.02175246,-0.015936129999999937
New Jersey,Burlington County,0.005688019999999988,0.05036479000000005,0.013569147000000004,-0.01622288999999999
Texas,Burnet County,0.0015005210000000012,1.2381783,0.018623709999999988,-0.0079733099999999
Wisconsin,Burnett County,9.369259000000007e-4,0.8674095700000001,0.004529594000000001,-0.0016933700000000274
Nebraska,Burt County,0.0011255001000000002,1.1955504,0.009009889,-0.010167899999999896
Pennsylvania,Butler County,0.03244553569999997,9.7018716,0.0462209918,-0.0932492000000007
South Dakota,Butte County,0.006308521900000003,5.18811363,0.028278672000000005,-0.036557979999999546
Georgia,Butts County,0.00913282999999998,0.6773992000000002,0.005053748,-0.014292480000000052
North Carolina,Cabarrus County,0.021804710000000005,0.059353199999999884,0.006588313999999998,-0.043169800000000036
West Virginia,Cabell County,-9.401439999999969e-4,0.5051356,0.003124221,-0.005843700000000007
Oklahoma,Caddo County,5.11532000000002e-4,0.7945522999999999,0.025074739999999998,-0.01072103000000002
Louisiana,Caddo Parish,0.01917065000000001,-0.027298090000000053,0.003988163999999999,-0.02353421
Utah,Cache County,0.0015238789,-0.3608682999999999,0.006560516000000002,-0.00985723000000005
California,Calaveras County,6.4344999999993435e-6,0.39282170000000005,0.013137449999999995,-0.008053010000000027
Louisiana,Calcasieu Parish,0.0029087400000000208,0.39274129999999974,0.007902103999999997,-0.008983019999999953
Kentucky,Caldwell County,2.128103999999853e-4,5.783277200000001,0.06011321250000001,-0.023587829999999865
Louisiana,Caldwell Parish,-0.012206179999999983,1.5443502000000002,0.010549021999999998,0.0066715499999999706
Vermont,Caledonia County,0.0018621302,0.2438186400000001,0.005484299999999999,-0.0044237900000000385
Texas,Calhoun County,0.008316026100000151,9.93421028,0.08154769289999997,-0.08505949000000079
Texas,Callahan County,0.004738624,4.2330608,0.017946087,-0.011734780000000056
Missouri,Callaway County,-3.146309999999958e-4,1.1146511,0.004443106999999998,-0.005925530000000068
Kentucky,Calloway County,0.003322872999999997,0.7245915999999999,0.0037719550000000004,-0.007511139999999972
Wisconsin,Calumet County,0.0016469698999999997,0.6342247299999999,0.0069355409999999965,-0.008639269999999977
Maryland,Calvert County,-0.005270859999999988,0.29852809999999996,0.010053844999999999,-0.0029503099999999005
Idaho,Camas County,0.0010110922,1.4705882,0.0021719490000000063,-0.032494780000000056
Pennsylvania,Cambria County,-0.0016125739999999986,1.2538357700000002,0.0019369630000000016,-0.0027407400000000193
North Carolina,Camden County,-0.008093381500000052,3.0474702600000008,0.04640813399999999,-0.0254069600000002
Texas,Cameron County,0.007535604500000001,1.4333480499999998,0.021760729100000042,-0.016690789999999955
Louisiana,Cameron Parish,0.018997707,5.041343300000001,0.012429886000000001,-0.029185950000000016
Texas,Camp County,-0.00871363,0.9268659999999997,0.035078970000000015,0.001983760000000001
South Dakota,Campbell County,0.011493417399999983,14.969081799999998,0.025802554000000005,-0.04039347999999965
Oklahoma,Canadian County,0.0039354690000000005,0.23705100000000012,0.018351354,-0.013914940000000042
Georgia,Candler County,0.0036419599999999996,0.7056724999999999,8.870200000000023e-4,-0.01712482999999998
Tennessee,Cannon County,0.0035355909999999994,1.9035423999999999,0.005466904999999999,-0.011447309999999988
Idaho,Canyon County,0.0011444674000000007,0.6750114000000003,0.012756479999999987,-0.00689476
Missouri,Cape Girardeau County,0.006307787999999995,1.1526313,0.003262826,-0.016199999999999992
New Jersey,Cape May County,1.4486200000000254e-4,0.3251398999999999,0.012105010999999999,-0.004094660000000028
Montana,Carbon County,0.012771187900000001,5.3990259499999995,0.04047165299999994,-0.038533629999999874
Idaho,Caribou County,5.905269699999999e-4,3.5919404000000004,0.009266416999999999,-0.0054421499999999234
Kentucky,Carlisle County,0.006170954000000001,2.9143440000000003,0.0061091420000000014,-0.014645690000000045
Minnesota,Carlton County,0.0015079970000000005,0.39511025,0.0035912930000000006,-0.004919229999999941
Maryland,Caroline County,-0.016368150000000026,1.0513849399999997,0.02778381499999999,-0.002557939999999981
Virginia,Carroll County,0.04764706029999999,15.18756853,0.07415119739999998,-0.1212898599999992
Nevada,Carson City,0.0012742939999999987,0.38331632000000004,0.024158770000000024,-0.011775260000000065
Texas,Carson County,0.0028685852999999996,4.2462258,0.014813557000000005,-0.014090180000000063
Tennessee,Carter County,0.004741288449999992,13.2300195,0.03026872030000001,-0.02968776999999978
North Carolina,Carteret County,-0.0028499619999999976,0.5949497999999998,0.009259690000000001,-0.006051000000000029
Minnesota,Carver County,0.005505259999999998,-0.012283400000000055,0.0026571109999999967,-0.012260500000000008
Montana,Cascade County,0.0027829169999999993,0.6581707299999999,0.009957657000000002,-0.011811429999999956
